Title,Hinban,Hinmei,KoushinNo,Customer,Maker,Status
"682","TK-022-01","ORIFICE","更新7次型(#13，14)","住友理工㈱","西岡精工","寸検待ち"
"683","K4006B0A","BRACKET（Lの字）","更新8次型(#8)","TOYO TIRE㈱","テックアダチ","初品提出中"
"684","K2046B2B","BRACKET","更新11次型(#41～46）","TOYO TIRE㈱","フジイ金型","型UP待ち"
"685","UN-329-00（12-382）","BRACKET","更新3次型(#5,#6)","住友理工㈱","型技","寸検待ち"
"686","K1054K0B","ROD","更新12次型(#12)","TOYO TIRE㈱","テックアダチ","初品提出中"
"687","K1054K0B","ROD","更新11次型(#11)","TOYO TIRE㈱","テックアダチ","初品提出中"
"688","K4012B00","BRACKET","更新11次型(#11)","TOYO TIRE㈱","テックアダチ","加工試作待ち"
"689","K4012B00","BRACKET","更新10次型(#10)","TOYO TIRE㈱","テックアダチ","加工試作待ち"
"690","TK-329-04","BRACKET　NO.2","更新6次型(#11,#12)","住友理工㈱","西岡精工","加工試作待ち"
"691","K1065B0A","BRACKET","更新9次型(#9)","TOYO TIRE㈱","テックアダチ","初品提出中"
"692","VC-051A-01","BRACKET","更新2次型(#3､#4)","住友理工㈱","-","製作段階（作成・承認含む）"
"693","VC-052A-01","BRACKET","更新2次型(#3､#4)","住友理工㈱","-","製作段階（作成・承認含む）"
"694","TQ-481-01","BRACKET","更新3次型(#3)","住友理工㈱","西岡精工","加工試作待ち"
"695","K1065B0A","BRACKET","更新8次型(#8)","TOYO TIRE㈱","テックアダチ","初品提出中"
"696","JF1G300248301","END　BLOCK","更新4次型(#7,#8)","ビーグルエナジージャパン㈱","テックアダチ","加工試作待ち"
"697","35732-B2110","CARRIER,PLANETARY（4PIN)","更新9次型","福寿工業㈱","西岡精工","型UP待ち"
"698","35732-B2130","CARRIER,PLANETARY（3PIN)","3PINキャリア設変　更新10型","福寿工業㈱","西岡精工","型UP待ち"
"699","6C5-45181-00-00-80","6C5プレート","更新4次型","ヤマハ発動機㈱","フジイ金型","型UP待ち"
"700","GF700673A/GF700674A","END PLATE N/P","更新7次型【＃７】","ビーグルエナジージャパン㈱","テックアダチ","加工試作待ち"
"701","TK-025-01","BRACKET","更新7次型(＃13-＃14)","住友理工㈱","西岡精工","型UP待ち"
"702","TK-025-01","BRACKET","更新6次型(＃11-＃12)","住友理工㈱","西岡精工","型UP待ち"
"703","K1092B0A","BRACKET","更新2次型(＃3-＃4)","TOYO TIRE㈱","テックアダチ","寸検待ち"
"704","079618-0750","スリーブ","更新25次型(S97～S100)","㈱光製作所","西岡精工","型UP待ち"
"705","079618-0750","スリーブ","更新24次型(S93～S96)","㈱光製作所","西岡精工","型UP待ち"
"706","079618-1380","スリーブバルブ１W","更新13次型(S49～S52)","㈱光製作所","西岡精工","鋳造試作待ち"
"707","079618-1380","スリーブバルブ１W","更新12次型(S45～S48)","㈱光製作所","西岡精工","鋳造試作待ち"
"708","079618-1340","スリーブバルブ","更新27次型　＃105～＃108","㈱光製作所","西岡精工","鋳造試作待ち"
"709","079618-1340","スリーブバルブ","更新26次型　＃101～＃104","㈱光製作所","西岡精工","鋳造試作待ち"
"710","DA-654-01","STOPPER　ASSY","更新4次型(#4)","住友理工㈱","西岡精工","製作段階（作成・承認含む）"
"711","HZ-264-01(303)","BRKT,SIDE MTG","更新7次型(＃13-＃14)","住友理工㈱","テックアダチ","型UP待ち"
